ts,evento,detalle
2026-09-13T01:42:13.887817+00:00,target_estado_inicial,instancia=9615795d7c4f44deafe3d7f6768e9ff4;ip=10.0.0.160;estado=healthy;razon=
2026-09-13T01:42:13.888283+00:00,target_estado_inicial,instancia=158513352b4f4189867e32a612b3e6ea;ip=10.0.1.108;estado=healthy;razon=
2026-09-13T01:42:05.247000+00:00,servicio_estable,mensaje=(service expd03-originacion) has reached a steady state.
2026-09-13T01:42:05.246000+00:00,ecs_evento,mensaje=(service expd03-originacion) (deployment ecs-svc/3660102271277155802) deployment completed.
2026-09-13T01:42:15.890586+00:00,k6_inicio,config=C5-container-health;rps=50;duracion=600;tipo_falla=hang
2026-09-13T01:44:16.733052+00:00,falla_computo,tipo=hang;instancia=158513352b4f4189867e32a612b3e6ea;ip=10.0.1.108
2026-09-13T01:44:30.632058+00:00,target_unhealthy,instancia=158513352b4f4189867e32a612b3e6ea;ip=10.0.1.108;estado=unhealthy;razon=Target.Timeout
2026-09-13T01:45:02.997000+00:00,tarea_nueva,instancia=a62723d1a0274fa58ef3421bec15fb25
2026-09-13T01:46:04.266446+00:00,target_estado_inicial,instancia=a62723d1a0274fa58ef3421bec15fb25;ip=10.0.0.61;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T01:46:05.382005+00:00,target_healthy,instancia=a62723d1a0274fa58ef3421bec15fb25;ip=10.0.0.61;estado=healthy;razon=
2026-09-13T01:46:02.778000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) registered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438:t
2026-09-13T01:46:12.402000+00:00,tarea_detenida,instancia=158513352b4f4189867e32a612b3e6ea
2026-09-13T01:46:12.369000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task 158513352b4f4189867e32a612b3e6ea) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T01:46:23.160469+00:00,target_draining,instancia=158513352b4f4189867e32a612b3e6ea;ip=10.0.1.108;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T01:46:22.264000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T01:46:22.206000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3660102271277155802) has begun draining connections on 1 tasks."
2026-09-13T01:46:22.186000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T01:46:30.871000+00:00,servicio_estable,mensaje=(service expd03-originacion) has reached a steady state.
2026-09-13T01:46:53.186970+00:00,target_retirado,instancia=158513352b4f4189867e32a612b3e6ea;ip=10.0.1.108
2026-09-13T01:48:16.625326+00:00,falla_base,metodo=reboot_force_failover
2026-09-13T01:48:27.302000+00:00,base_failover_inicio,mensaje=Multi-AZ instance failover started. 
2026-09-13T01:48:44.796000+00:00,base_reiniciada,mensaje=DB instance restarted
2026-09-13T01:48:57.081000+00:00,base_failover_fin,mensaje=Multi-AZ instance failover completed
2026-09-13T01:48:57.081000+00:00,rds_evento,mensaje=The user requested a failover of the DB instance.
2026-09-13T01:52:16.776604+00:00,k6_fin,codigo_salida=0
