segundo,total,ok,fallidas
0,50,50,0
1,50,50,0
2,50,50,0
3,50,50,0
4,50,50,0
5,50,50,0
6,50,50,0
7,50,50,0
8,50,50,0
9,50,50,0
10,50,50,0
11,50,50,0
12,50,50,0
13,50,50,0
14,50,50,0
15,50,50,0
16,50,50,0
17,50,50,0
18,50,50,0
19,50,50,0
20,50,50,0
21,50,50,0
22,50,50,0
23,50,50,0
24,50,50,0
25,50,50,0
26,50,50,0
27,50,50,0
28,50,50,0
29,50,50,0
30,50,50,0
31,50,50,0
32,50,50,0
33,50,50,0
34,50,50,0
35,50,50,0
36,50,50,0
37,50,50,0
38,50,50,0
39,50,50,0
40,50,50,0
41,50,50,0
42,50,50,0
43,50,50,0
44,50,50,0
45,50,50,0
46,50,50,0
47,50,50,0
48,50,50,0
49,50,50,0
50,50,50,0
51,50,50,0
52,50,50,0
53,51,51,0
54,49,49,0
55,50,50,0
56,50,50,0
57,50,50,0
58,50,50,0
59,50,50,0
60,54,54,0
61,59,59,0
62,66,61,5
63,72,29,43
64,79,5,74
65,85,0,85
66,91,0,91
67,70,0,70
68,74,0,74
69,88,0,88
70,92,0,92
71,97,0,97
72,89,0,89
73,94,0,94
74,100,0,100
75,102,0,102
76,105,0,105
77,101,0,101
78,104,0,104
79,110,0,110
80,109,0,109
81,104,0,104
82,106,0,106
83,109,0,109
84,111,0,111
85,111,0,111
86,109,0,109
87,109,0,109
88,111,0,111
89,112,0,112
90,112,0,112
91,111,0,111
92,111,0,111
93,112,0,112
94,113,0,113
95,113,0,113
96,111,0,111
97,112,0,112
98,113,0,113
99,113,0,113
100,113,0,113
101,112,0,112
102,112,0,112
103,113,0,113
104,113,0,113
105,113,0,113
106,113,0,113
107,112,0,112
108,113,0,113
109,113,0,113
110,113,0,113
111,113,0,113
112,113,0,113
113,113,0,113
114,113,0,113
115,113,0,113
116,113,0,113
117,113,0,113
118,113,0,113
119,113,0,113
120,113,0,113
121,113,0,113
122,113,0,113
123,113,0,113
124,113,0,113
125,113,0,113
126,113,0,113
127,113,0,113
128,113,0,113
129,113,0,113
130,113,0,113
131,113,0,113
132,113,0,113
133,113,0,113
134,113,0,113
135,113,0,113
136,113,0,113
137,113,0,113
138,113,0,113
139,113,0,113
140,113,0,113
141,113,0,113
142,113,0,113
143,113,0,113
144,113,0,113
145,113,0,113
146,113,0,113
147,113,15,98
148,113,58,55
149,113,16,97
150,113,0,113
151,113,0,113
152,113,0,113
153,113,0,113
154,113,0,113
155,113,0,113
156,113,0,113
157,113,0,113
158,113,0,113
159,113,0,113
160,113,0,113
161,113,0,113
162,113,0,113
163,113,0,113
164,113,0,113
165,113,0,113
166,113,0,113
167,113,0,113
168,113,0,113
169,113,0,113
170,113,0,113
171,113,0,113
172,113,0,113
173,113,0,113
174,113,0,113
175,113,0,113
176,113,0,113
177,113,0,113
178,113,0,113
179,113,0,113
180,116,0,116
181,121,0,121
182,127,0,127
183,133,0,133
184,139,0,139
185,145,0,145
186,155,0,155
187,162,0,162
188,171,0,171
189,180,0,180
190,185,0,185
191,191,0,191
192,173,0,173
193,171,0,171
194,179,0,179
195,185,0,185
196,191,0,191
197,173,0,173
198,171,0,171
199,179,0,179
200,185,0,185
201,191,0,191
202,173,0,173
203,171,0,171
204,179,0,179
