ts,evento,detalle
2026-09-13T01:57:12.419304+00:00,target_estado_inicial,instancia=5c138df09477451f8973151f7575e345;ip=10.0.1.87;estado=healthy;razon=
2026-09-13T01:57:12.419738+00:00,target_estado_inicial,instancia=4f5e949bbb7a4a56b3146c161b6c7b40;ip=10.0.0.31;estado=healthy;razon=
2026-09-13T01:57:03.124000+00:00,servicio_estable,mensaje=(service expd03-originacion) has reached a steady state.
2026-09-13T01:57:03.122000+00:00,ecs_evento,mensaje=(service expd03-originacion) (deployment ecs-svc/3559820735141730004) deployment completed.
2026-09-13T01:57:14.936232+00:00,k6_inicio,config=C6a-rampa-M1;rps=50;duracion=600;tipo_falla=hang
2026-09-13T01:58:36.146562+00:00,target_unhealthy,instancia=5c138df09477451f8973151f7575e345;ip=10.0.1.87;estado=unhealthy;razon=Target.Timeout
2026-09-13T01:58:36.147128+00:00,target_unhealthy,instancia=4f5e949bbb7a4a56b3146c161b6c7b40;ip=10.0.0.31;estado=unhealthy;razon=Target.Timeout
2026-09-13T01:59:21.552000+00:00,tarea_nueva,instancia=2b8b3ded392844b7b2a6837ef9b7fd1a
2026-09-13T01:59:42.027629+00:00,target_estado_inicial,instancia=2b8b3ded392844b7b2a6837ef9b7fd1a;ip=10.0.0.161;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T01:59:42.027974+00:00,target_estado_inicial,instancia=2df5d0a693764a13b373510566b22ff5;ip=10.0.1.177;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T01:59:43.145768+00:00,target_healthy,instancia=2b8b3ded392844b7b2a6837ef9b7fd1a;ip=10.0.0.161;estado=healthy;razon=
2026-09-13T01:59:43.146111+00:00,target_healthy,instancia=2df5d0a693764a13b373510566b22ff5;ip=10.0.1.177;estado=healthy;razon=
2026-09-13T01:59:40.841000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) registered 2 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438:t
2026-09-13T01:59:50.353000+00:00,tarea_detenida,instancia=4f5e949bbb7a4a56b3146c161b6c7b40
2026-09-13T01:59:50.289000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task 4f5e949bbb7a4a56b3146c161b6c7b40) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T01:59:50.288000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task 5c138df09477451f8973151f7575e345) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T02:00:00.940341+00:00,target_unhealthy,instancia=2b8b3ded392844b7b2a6837ef9b7fd1a;ip=10.0.0.161;estado=unhealthy;razon=Target.Timeout
2026-09-13T02:00:00.940719+00:00,target_unhealthy,instancia=2df5d0a693764a13b373510566b22ff5;ip=10.0.1.177;estado=unhealthy;razon=Target.Timeout
2026-09-13T02:00:00.940919+00:00,target_draining,instancia=5c138df09477451f8973151f7575e345;ip=10.0.1.87;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T02:00:00.941155+00:00,target_draining,instancia=4f5e949bbb7a4a56b3146c161b6c7b40;ip=10.0.0.31;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T01:59:59.789000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 2 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T01:59:59.734000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3559820735141730004) has begun draining connections on 2 tasks."
