ts,evento,detalle
2026-09-13T02:09:04.366574+00:00,target_estado_inicial,instancia=945d7c1506b8428d8c2db9e209431cba;ip=10.0.1.65;estado=healthy;razon=
2026-09-13T02:09:04.366990+00:00,target_estado_inicial,instancia=35c0fc2c94d34e469c1df4fb085e85dc;ip=10.0.0.126;estado=healthy;razon=
2026-09-13T02:09:06.900306+00:00,k6_inicio,config=C6b-rampa-M2;rps=50;duracion=600;tipo_falla=hang
2026-09-13T02:10:37.761641+00:00,target_unhealthy,instancia=35c0fc2c94d34e469c1df4fb085e85dc;ip=10.0.0.126;estado=unhealthy;razon=Target.Timeout
2026-09-13T02:10:41.797424+00:00,target_unhealthy,instancia=945d7c1506b8428d8c2db9e209431cba;ip=10.0.1.65;estado=unhealthy;razon=Target.Timeout
2026-09-13T02:10:40.687000+00:00,tarea_nueva,instancia=0a9f038bdee84623859b3fd16ef050bb
2026-09-13T02:10:50.030000+00:00,tarea_nueva,instancia=46443b4e15484a5aa27fc491b7dfe7f4
2026-09-13T02:11:10.989690+00:00,target_estado_inicial,instancia=0a9f038bdee84623859b3fd16ef050bb;ip=10.0.0.152;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T02:11:12.114777+00:00,target_healthy,instancia=0a9f038bdee84623859b3fd16ef050bb;ip=10.0.0.152;estado=healthy;razon=
2026-09-13T02:11:09.750000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) registered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438:t
2026-09-13T02:11:28.344000+00:00,tarea_detenida,instancia=35c0fc2c94d34e469c1df4fb085e85dc
2026-09-13T02:11:28.312000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task 35c0fc2c94d34e469c1df4fb085e85dc) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T02:11:36.778205+00:00,target_unhealthy,instancia=0a9f038bdee84623859b3fd16ef050bb;ip=10.0.0.152;estado=unhealthy;razon=Target.Timeout
2026-09-13T02:11:39.730804+00:00,target_draining,instancia=35c0fc2c94d34e469c1df4fb085e85dc;ip=10.0.0.126;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T02:11:38.416000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:11:38.345000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3559820735141730004) has begun draining connections on 1 tasks."
2026-09-13T02:11:38.320000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:11:48.244000+00:00,ecs_evento,mensaje=(service expd03-originacion) was unable to place a task. Reason: CannotPullContainerError: ref pull has been retried 1 t
2026-09-13T02:12:09.504519+00:00,target_retirado,instancia=35c0fc2c94d34e469c1df4fb085e85dc;ip=10.0.0.126
2026-09-13T02:12:28.117000+00:00,tarea_nueva,instancia=6330d966dbde4bee9d2335832f759553
2026-09-13T02:12:56.051520+00:00,target_estado_inicial,instancia=6330d966dbde4bee9d2335832f759553;ip=10.0.1.179;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T02:12:58.281395+00:00,target_healthy,instancia=6330d966dbde4bee9d2335832f759553;ip=10.0.1.179;estado=healthy;razon=
2026-09-13T02:12:55.517000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) registered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438:t
2026-09-13T02:13:06.356000+00:00,tarea_detenida,instancia=945d7c1506b8428d8c2db9e209431cba
2026-09-13T02:13:06.324000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task 945d7c1506b8428d8c2db9e209431cba) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T02:13:06.302000+00:00,tarea_nueva,instancia=1eece718e99048ff9095d55dba77efbd
2026-09-13T02:13:14.802000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:13:14.727000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3559820735141730004) has begun draining connections on 1 tasks."
2026-09-13T02:13:14.722000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:13:16.648589+00:00,target_draining,instancia=945d7c1506b8428d8c2db9e209431cba;ip=10.0.1.65;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T02:13:23.509741+00:00,target_unhealthy,instancia=6330d966dbde4bee9d2335832f759553;ip=10.0.1.179;estado=unhealthy;razon=Target.Timeout
2026-09-13T02:13:25.743261+00:00,target_estado_inicial,instancia=1eece718e99048ff9095d55dba77efbd;ip=10.0.0.220;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T02:13:25.104000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) registered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438:t
2026-09-13T02:13:28.689124+00:00,target_healthy,instancia=1eece718e99048ff9095d55dba77efbd;ip=10.0.0.220;estado=healthy;razon=
2026-09-13T02:13:33.712000+00:00,tarea_detenida,instancia=0a9f038bdee84623859b3fd16ef050bb
2026-09-13T02:13:33.678000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task 0a9f038bdee84623859b3fd16ef050bb) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T02:13:44.682602+00:00,target_draining,instancia=0a9f038bdee84623859b3fd16ef050bb;ip=10.0.0.152;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T02:13:45.807901+00:00,target_retirado,instancia=945d7c1506b8428d8c2db9e209431cba;ip=10.0.1.65
2026-09-13T02:13:43.951000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:13:43.885000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3559820735141730004) has begun draining connections on 1 tasks."
2026-09-13T02:13:43.880000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:13:54.103841+00:00,target_unhealthy,instancia=1eece718e99048ff9095d55dba77efbd;ip=10.0.0.220;estado=unhealthy;razon=Target.Timeout
2026-09-13T02:14:14.145001+00:00,target_retirado,instancia=0a9f038bdee84623859b3fd16ef050bb;ip=10.0.0.152
2026-09-13T02:15:19.576000+00:00,tarea_nueva,instancia=aa6332dbaeb644c293b3548a5205f2a1
2026-09-13T02:15:38.630000+00:00,tarea_nueva,instancia=900fe73b39a649d6b81656599d191c20
2026-09-13T02:15:48.435124+00:00,target_estado_inicial,instancia=aa6332dbaeb644c293b3548a5205f2a1;ip=10.0.0.46;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T02:15:49.554073+00:00,target_healthy,instancia=aa6332dbaeb644c293b3548a5205f2a1;ip=10.0.0.46;estado=healthy;razon=
2026-09-13T02:15:47.625000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) registered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438:t
2026-09-13T02:15:58.052796+00:00,target_estado_inicial,instancia=900fe73b39a649d6b81656599d191c20;ip=10.0.1.206;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T02:15:59.156702+00:00,target_healthy,instancia=900fe73b39a649d6b81656599d191c20;ip=10.0.1.206;estado=healthy;razon=
2026-09-13T02:15:57.116000+00:00,tarea_detenida,instancia=1eece718e99048ff9095d55dba77efbd
2026-09-13T02:15:57.082000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task 1eece718e99048ff9095d55dba77efbd) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T02:16:07.339039+00:00,target_draining,instancia=1eece718e99048ff9095d55dba77efbd;ip=10.0.0.220;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T02:16:06.783000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:16:06.703000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3559820735141730004) has begun draining connections on 1 tasks."
2026-09-13T02:16:06.698000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:16:15.843170+00:00,target_unhealthy,instancia=aa6332dbaeb644c293b3548a5205f2a1;ip=10.0.0.46;estado=unhealthy;razon=Target.Timeout
2026-09-13T02:16:16.178000+00:00,tarea_detenida,instancia=6330d966dbde4bee9d2335832f759553
2026-09-13T02:16:16.142000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task 6330d966dbde4bee9d2335832f759553) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T02:16:24.391592+00:00,target_unhealthy,instancia=900fe73b39a649d6b81656599d191c20;ip=10.0.1.206;estado=unhealthy;razon=Target.Timeout
2026-09-13T02:16:26.223691+00:00,target_draining,instancia=6330d966dbde4bee9d2335832f759553;ip=10.0.1.179;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T02:16:25.919000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:16:25.843000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3559820735141730004) has begun draining connections on 1 tasks."
2026-09-13T02:16:25.838000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:16:36.959461+00:00,target_retirado,instancia=1eece718e99048ff9095d55dba77efbd;ip=10.0.0.220
2026-09-13T02:16:57.692803+00:00,target_retirado,instancia=6330d966dbde4bee9d2335832f759553;ip=10.0.1.179
2026-09-13T02:18:01.066000+00:00,tarea_nueva,instancia=a03364e6fa344781bded28814a2d3bb2
2026-09-13T02:18:30.686446+00:00,target_estado_inicial,instancia=a03364e6fa344781bded28814a2d3bb2;ip=10.0.0.37;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T02:18:31.806773+00:00,target_healthy,instancia=a03364e6fa344781bded28814a2d3bb2;ip=10.0.0.37;estado=healthy;razon=
2026-09-13T02:18:30.037000+00:00,tarea_nueva,instancia=e2fd9c926fa54c14b892c67628895020
2026-09-13T02:18:29.377000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) registered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438:t
2026-09-13T02:18:38.691000+00:00,tarea_detenida,instancia=aa6332dbaeb644c293b3548a5205f2a1
2026-09-13T02:18:38.660000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task aa6332dbaeb644c293b3548a5205f2a1) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T02:18:50.770216+00:00,target_draining,instancia=aa6332dbaeb644c293b3548a5205f2a1;ip=10.0.0.46;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T02:18:50.770582+00:00,target_estado_inicial,instancia=e2fd9c926fa54c14b892c67628895020;ip=10.0.1.66;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T02:18:51.897717+00:00,target_healthy,instancia=e2fd9c926fa54c14b892c67628895020;ip=10.0.1.66;estado=healthy;razon=
2026-09-13T02:18:49.623000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:18:49.528000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3559820735141730004) has begun draining connections on 1 tasks."
2026-09-13T02:18:49.524000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:18:49.469000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) registered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438:t
2026-09-13T02:18:57.105943+00:00,target_unhealthy,instancia=a03364e6fa344781bded28814a2d3bb2;ip=10.0.0.37;estado=unhealthy;razon=Target.Timeout
2026-09-13T02:18:57.979000+00:00,tarea_detenida,instancia=900fe73b39a649d6b81656599d191c20
2026-09-13T02:18:57.943000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task 900fe73b39a649d6b81656599d191c20) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T02:19:08.644607+00:00,target_draining,instancia=900fe73b39a649d6b81656599d191c20;ip=10.0.1.206;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T02:19:08.191000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:19:08.112000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3559820735141730004) has begun draining connections on 1 tasks."
2026-09-13T02:19:08.106000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:19:12.785715+00:00,k6_fin,codigo_salida=0
2026-09-13T02:19:19.760610+00:00,target_retirado,instancia=aa6332dbaeb644c293b3548a5205f2a1;ip=10.0.0.46
2026-09-13T02:19:21.987396+00:00,target_healthy,instancia=a03364e6fa344781bded28814a2d3bb2;ip=10.0.0.37;estado=healthy;razon=
2026-09-13T02:19:27.901000+00:00,servicio_estable,mensaje=(service expd03-originacion) has reached a steady state.
2026-09-13T02:19:38.626888+00:00,target_retirado,instancia=900fe73b39a649d6b81656599d191c20;ip=10.0.1.206
