segundo,total,ok,fallidas
0,51,37,14
1,50,37,13
2,50,41,9
3,50,37,13
4,50,40,10
5,50,34,16
6,50,50,0
7,50,50,0
8,50,49,1
9,50,47,3
10,50,48,2
11,50,49,1
12,50,50,0
13,50,50,0
14,50,49,1
15,50,47,3
16,50,47,3
17,50,50,0
18,50,50,0
19,50,50,0
20,50,50,0
21,50,50,0
22,50,50,0
23,50,50,0
24,50,50,0
25,50,49,1
26,50,49,1
27,50,48,2
28,50,50,0
29,50,50,0
30,50,50,0
31,50,50,0
32,50,50,0
33,50,50,0
34,50,50,0
35,50,50,0
36,50,50,0
37,50,50,0
38,50,50,0
39,50,50,0
40,50,50,0
41,50,50,0
42,50,50,0
43,50,50,0
44,50,50,0
45,50,50,0
46,50,50,0
47,50,50,0
48,50,50,0
49,50,50,0
50,50,50,0
51,50,50,0
52,50,50,0
53,50,50,0
54,50,50,0
55,50,50,0
56,50,50,0
57,50,50,0
58,50,50,0
59,50,50,0
60,50,50,0
61,50,50,0
62,50,50,0
63,50,50,0
64,50,50,0
65,50,50,0
66,50,50,0
67,50,50,0
68,50,50,0
69,50,50,0
70,50,50,0
71,50,50,0
72,50,50,0
73,50,50,0
74,50,50,0
75,50,50,0
76,50,50,0
77,50,50,0
78,50,50,0
79,50,50,0
80,50,50,0
81,50,50,0
82,50,50,0
83,50,50,0
84,50,50,0
85,50,50,0
86,50,50,0
87,50,50,0
88,50,50,0
89,50,50,0
90,50,50,0
91,50,50,0
92,50,50,0
93,50,50,0
94,50,50,0
95,50,50,0
96,50,50,0
97,50,50,0
98,50,50,0
99,50,50,0
100,50,50,0
101,50,50,0
102,50,50,0
103,50,50,0
104,50,50,0
105,50,50,0
106,50,50,0
107,50,50,0
108,50,50,0
109,50,50,0
110,50,50,0
111,50,50,0
112,50,50,0
113,50,50,0
114,50,50,0
115,50,50,0
116,50,50,0
117,50,50,0
118,50,50,0
119,50,49,1
120,50,27,23
121,50,25,25
122,50,26,24
123,50,25,25
124,50,24,26
125,50,26,24
126,50,25,25
127,50,24,26
128,50,26,24
129,50,25,25
130,50,25,25
131,50,36,14
132,50,50,0
133,50,50,0
134,50,50,0
135,50,50,0
136,50,50,0
137,50,50,0
138,50,50,0
139,50,50,0
140,50,50,0
141,50,50,0
142,50,50,0
143,50,50,0
144,50,50,0
145,50,50,0
146,50,50,0
147,50,50,0
148,50,50,0
149,50,50,0
150,50,50,0
151,50,50,0
152,50,50,0
153,50,50,0
154,50,50,0
155,50,50,0
156,50,50,0
157,50,50,0
158,50,50,0
159,50,50,0
160,50,50,0
161,50,50,0
162,50,50,0
163,50,50,0
164,50,50,0
165,50,50,0
166,50,50,0
167,50,50,0
168,50,50,0
169,50,50,0
170,50,50,0
171,50,50,0
172,50,50,0
173,50,50,0
174,50,50,0
175,50,50,0
176,50,50,0
177,50,50,0
178,50,50,0
179,50,50,0
180,50,50,0
181,50,50,0
182,50,50,0
183,50,50,0
184,50,50,0
185,50,50,0
186,50,50,0
187,50,50,0
188,50,50,0
189,50,50,0
190,50,50,0
191,50,50,0
192,50,50,0
193,50,50,0
194,50,50,0
195,50,50,0
196,50,50,0
197,50,50,0
198,50,50,0
199,50,50,0
200,50,50,0
201,50,50,0
202,50,50,0
203,50,50,0
204,50,50,0
205,50,50,0
206,50,50,0
207,50,50,0
208,50,50,0
209,50,50,0
210,50,50,0
211,50,50,0
212,50,50,0
213,50,50,0
214,50,50,0
215,50,50,0
216,50,50,0
217,50,50,0
218,50,50,0
219,50,50,0
220,50,50,0
221,50,50,0
222,50,50,0
223,50,50,0
224,50,50,0
225,50,50,0
226,50,50,0
227,50,50,0
228,50,50,0
229,50,50,0
230,50,50,0
231,50,50,0
232,50,50,0
233,50,50,0
234,50,50,0
235,50,50,0
236,50,50,0
237,50,50,0
238,50,50,0
239,50,50,0
240,50,50,0
241,50,50,0
242,50,50,0
243,50,50,0
244,50,50,0
245,50,50,0
246,50,50,0
247,50,50,0
248,50,50,0
249,50,50,0
250,50,50,0
251,50,50,0
252,50,50,0
253,50,50,0
254,50,50,0
255,50,50,0
256,50,50,0
257,50,50,0
258,50,50,0
259,50,50,0
260,50,50,0
261,50,50,0
262,50,50,0
263,50,50,0
264,50,50,0
265,50,50,0
266,50,50,0
267,50,50,0
268,50,50,0
269,50,50,0
270,50,50,0
271,50,50,0
272,50,50,0
273,50,50,0
274,50,50,0
275,50,50,0
276,50,50,0
277,50,50,0
278,50,50,0
279,50,50,0
280,50,50,0
281,50,50,0
282,50,50,0
283,50,50,0
284,50,50,0
285,50,50,0
286,50,50,0
287,50,50,0
288,50,50,0
289,50,50,0
290,50,50,0
291,50,50,0
292,50,50,0
293,50,50,0
294,50,50,0
295,50,50,0
296,50,50,0
297,50,50,0
298,50,50,0
299,50,50,0
300,50,50,0
301,50,50,0
302,50,50,0
303,50,50,0
304,50,50,0
305,50,50,0
306,50,50,0
307,50,50,0
308,50,50,0
309,50,50,0
310,50,50,0
311,50,50,0
312,50,50,0
313,50,50,0
314,50,50,0
315,50,50,0
316,50,50,0
317,50,50,0
318,50,50,0
319,50,50,0
320,50,50,0
321,50,50,0
322,50,50,0
323,50,50,0
324,50,50,0
325,50,50,0
326,50,50,0
327,50,50,0
328,50,50,0
329,50,50,0
330,50,50,0
331,50,50,0
332,50,50,0
333,50,50,0
334,50,50,0
335,50,50,0
336,50,50,0
337,50,50,0
338,50,50,0
339,50,50,0
340,50,50,0
341,50,50,0
342,50,50,0
343,50,50,0
344,50,50,0
345,50,50,0
346,50,50,0
347,50,50,0
348,50,50,0
349,50,50,0
350,50,50,0
351,50,50,0
352,50,50,0
353,50,50,0
354,50,50,0
355,50,50,0
356,50,50,0
357,50,50,0
358,50,50,0
359,50,50,0
360,50,50,0
361,50,50,0
362,50,50,0
363,50,50,0
364,50,50,0
365,50,50,0
366,50,50,0
367,50,49,1
368,50,50,0
369,50,50,0
370,50,50,0
371,50,22,28
372,50,0,50
373,50,0,50
374,50,0,50
375,50,0,50
376,50,0,50
377,50,0,50
378,50,0,50
379,50,0,50
380,50,0,50
381,50,0,50
382,50,0,50
383,50,0,50
384,50,0,50
385,50,0,50
386,50,9,41
387,50,26,24
388,50,47,3
389,50,50,0
390,50,50,0
391,50,50,0
392,50,50,0
393,50,50,0
394,50,50,0
395,50,50,0
396,50,50,0
397,50,50,0
398,50,50,0
399,50,50,0
400,50,50,0
401,50,50,0
402,50,50,0
403,50,50,0
404,50,50,0
405,50,50,0
406,50,50,0
407,50,50,0
408,50,50,0
409,50,50,0
410,50,50,0
411,50,50,0
412,50,50,0
413,50,50,0
414,50,50,0
415,50,50,0
416,50,50,0
417,50,50,0
418,50,50,0
419,50,50,0
420,50,50,0
421,50,50,0
422,50,50,0
423,50,50,0
424,50,50,0
425,50,50,0
426,50,50,0
427,50,50,0
428,50,50,0
429,50,50,0
430,50,50,0
431,50,50,0
432,50,50,0
433,50,50,0
434,50,50,0
435,50,50,0
436,50,50,0
437,50,50,0
438,50,50,0
439,50,50,0
440,50,50,0
441,50,50,0
442,50,50,0
443,50,50,0
444,50,50,0
445,50,50,0
446,50,50,0
447,50,50,0
448,50,50,0
449,50,50,0
450,50,50,0
451,50,50,0
452,50,50,0
453,50,50,0
454,50,50,0
455,50,50,0
456,50,50,0
457,50,50,0
458,50,50,0
459,50,50,0
460,50,50,0
461,50,50,0
462,50,50,0
463,50,50,0
464,50,50,0
465,50,50,0
466,50,50,0
467,50,50,0
468,50,50,0
469,50,50,0
470,50,50,0
471,50,50,0
472,50,50,0
473,50,50,0
474,50,50,0
475,50,50,0
476,50,50,0
477,50,50,0
478,50,50,0
479,50,50,0
480,50,50,0
481,50,50,0
482,50,50,0
483,50,50,0
484,50,50,0
485,50,50,0
486,50,50,0
487,50,50,0
488,50,50,0
489,50,50,0
490,50,50,0
491,50,50,0
492,50,50,0
493,50,50,0
494,50,50,0
495,50,50,0
496,50,50,0
497,50,50,0
498,50,50,0
499,50,50,0
500,50,50,0
501,50,50,0
502,50,50,0
503,50,50,0
504,50,50,0
505,50,50,0
506,50,50,0
507,50,50,0
508,50,50,0
509,50,50,0
510,50,50,0
511,50,50,0
512,50,50,0
513,50,50,0
514,50,50,0
515,50,50,0
516,50,50,0
517,50,50,0
518,50,50,0
519,50,50,0
520,50,50,0
521,50,50,0
522,50,50,0
523,50,50,0
524,50,50,0
525,50,50,0
526,50,50,0
527,50,50,0
528,50,50,0
529,50,50,0
530,50,50,0
531,50,50,0
532,50,50,0
533,50,50,0
534,50,49,1
535,50,50,0
536,50,49,1
537,50,50,0
538,50,50,0
539,50,50,0
540,50,50,0
541,50,50,0
542,50,50,0
543,50,50,0
544,50,50,0
545,50,50,0
546,50,50,0
547,50,50,0
548,50,50,0
549,50,50,0
550,50,50,0
551,50,50,0
552,50,50,0
553,50,50,0
554,50,50,0
555,50,50,0
556,50,50,0
557,50,50,0
558,50,50,0
559,50,50,0
560,50,50,0
561,50,50,0
562,50,50,0
563,50,50,0
564,50,50,0
565,50,50,0
566,50,50,0
567,50,50,0
568,50,50,0
569,50,50,0
570,50,50,0
571,50,50,0
572,50,50,0
573,50,50,0
574,50,50,0
575,50,50,0
576,50,50,0
577,50,50,0
578,50,50,0
579,50,50,0
580,50,50,0
581,50,50,0
582,50,50,0
583,50,50,0
584,50,50,0
585,50,50,0
586,50,50,0
587,50,50,0
588,50,50,0
589,50,50,0
590,50,50,0
591,50,50,0
592,50,50,0
593,50,50,0
594,50,50,0
595,50,50,0
596,50,50,0
597,50,50,0
598,50,50,0
599,49,49,0
