segundo,total,ok,fallidas
0,51,51,0
1,50,50,0
2,50,50,0
3,50,50,0
4,50,50,0
5,50,50,0
6,50,50,0
7,50,50,0
8,50,50,0
9,50,50,0
10,50,50,0
11,50,50,0
12,50,50,0
13,50,50,0
14,50,50,0
15,50,50,0
16,50,50,0
17,50,50,0
18,50,50,0
19,50,50,0
20,50,31,19
21,50,25,25
22,50,25,25
23,50,25,25
24,50,25,25
25,50,25,25
26,55,28,27
27,50,25,25
28,50,25,25
29,50,25,25
30,50,25,25
31,50,25,25
32,50,48,2
33,50,50,0
34,50,50,0
35,50,50,0
36,50,50,0
37,50,50,0
38,50,50,0
39,50,50,0
40,50,50,0
41,50,50,0
42,50,50,0
43,50,50,0
44,50,50,0
45,50,50,0
46,50,50,0
47,50,50,0
48,50,50,0
49,50,50,0
50,50,5,45
51,50,0,50
52,50,0,50
53,50,0,50
54,50,0,50
55,53,0,53
56,52,0,52
57,50,0,50
58,50,0,50
59,50,0,50
60,50,0,50
61,50,0,50
62,50,0,50
63,50,0,50
64,50,0,50
65,50,2,48
66,50,31,19
67,50,50,0
68,50,50,0
69,50,50,0
70,50,50,0
71,50,50,0
72,50,50,0
73,50,50,0
74,50,50,0
75,50,50,0
76,50,50,0
77,50,50,0
78,50,50,0
79,50,50,0
80,50,50,0
81,50,50,0
82,50,50,0
83,50,50,0
84,50,50,0
85,55,55,0
86,50,50,0
87,50,50,0
88,50,50,0
89,34,34,0
