segundo,total,ok,fallidas
0,51,51,0
1,50,50,0
2,50,50,0
3,50,50,0
4,50,50,0
5,50,50,0
6,50,50,0
7,50,50,0
8,50,50,0
9,50,50,0
10,50,50,0
11,50,50,0
12,50,50,0
13,50,50,0
14,50,50,0
15,50,50,0
16,50,50,0
17,50,50,0
18,50,50,0
19,50,50,0
20,50,50,0
21,50,50,0
22,50,50,0
23,50,50,0
24,50,50,0
25,50,50,0
26,50,50,0
27,50,50,0
28,50,50,0
29,50,50,0
30,50,25,25
31,50,25,25
32,50,25,25
33,50,26,24
34,50,24,26
35,50,25,25
36,50,25,25
37,50,26,24
38,50,24,26
39,50,25,25
40,50,25,25
41,50,25,25
42,50,26,24
43,50,33,17
44,50,50,0
45,50,50,0
46,50,50,0
47,50,50,0
48,50,50,0
49,50,50,0
50,50,50,0
51,50,50,0
52,50,50,0
53,50,50,0
54,50,50,0
55,50,50,0
56,50,50,0
57,50,50,0
58,50,50,0
59,50,50,0
60,50,50,0
61,50,50,0
62,50,50,0
63,50,50,0
64,50,50,0
65,50,50,0
66,50,50,0
67,50,50,0
68,50,50,0
69,50,50,0
70,50,50,0
71,50,50,0
72,50,50,0
73,50,50,0
74,50,50,0
75,50,50,0
76,50,50,0
77,50,50,0
78,50,50,0
79,50,50,0
80,50,50,0
81,50,35,15
82,50,0,50
83,50,0,50
84,50,0,50
85,50,0,50
86,50,0,50
87,50,0,50
88,50,0,50
89,50,0,50
90,50,0,50
91,50,0,50
92,50,0,50
93,50,0,50
94,50,0,50
95,50,0,50
96,50,0,50
97,50,0,50
98,50,46,4
99,50,50,0
100,50,49,1
101,50,50,0
102,50,50,0
103,50,50,0
104,50,50,0
105,50,50,0
106,50,50,0
107,50,50,0
108,50,50,0
109,50,50,0
110,50,50,0
111,50,50,0
112,50,50,0
113,50,50,0
114,50,50,0
115,50,50,0
116,50,50,0
117,50,50,0
118,50,50,0
119,49,49,0
