segundo,total,ok,fallidas
0,44,44,0
1,50,50,0
2,50,50,0
3,50,50,0
4,50,50,0
5,50,50,0
6,50,50,0
7,50,50,0
8,50,50,0
9,50,50,0
10,50,50,0
11,50,50,0
12,50,50,0
13,50,50,0
14,50,50,0
15,50,50,0
16,50,50,0
17,50,50,0
18,50,50,0
19,50,50,0
20,50,50,0
21,50,50,0
22,50,50,0
23,50,50,0
24,50,50,0
25,50,50,0
26,50,50,0
27,50,50,0
28,50,50,0
29,50,50,0
30,44,38,6
31,50,25,25
32,50,25,25
33,35,17,18
34,34,17,17
35,37,19,18
36,50,25,25
37,50,25,25
38,45,22,23
39,44,22,22
40,46,23,23
41,50,25,25
42,50,46,4
43,50,50,0
44,50,50,0
45,50,50,0
46,50,50,0
47,50,50,0
48,50,50,0
49,50,50,0
50,50,50,0
51,50,50,0
52,50,50,0
53,50,50,0
54,50,50,0
55,50,50,0
56,50,50,0
57,50,50,0
58,50,50,0
59,50,50,0
60,44,44,0
61,50,50,0
62,50,50,0
63,50,50,0
64,50,50,0
65,50,50,0
66,50,50,0
67,50,50,0
68,50,50,0
69,50,50,0
70,50,50,0
71,50,50,0
72,50,50,0
73,50,50,0
74,50,50,0
75,50,42,8
76,50,0,50
77,50,0,50
78,37,0,37
79,47,0,47
80,49,0,49
81,44,0,44
82,49,0,49
83,50,0,50
84,47,0,47
85,49,0,49
86,50,0,50
87,49,0,49
88,49,0,49
89,50,0,50
90,44,0,44
91,49,0,49
92,50,0,50
93,50,0,50
94,49,0,49
95,50,21,29
96,50,49,1
97,50,50,0
98,50,50,0
99,50,50,0
100,50,50,0
101,50,50,0
102,50,50,0
103,50,50,0
104,50,50,0
105,50,50,0
106,50,50,0
107,50,50,0
108,50,50,0
109,50,50,0
110,50,50,0
111,50,50,0
112,50,50,0
113,50,50,0
114,50,50,0
115,50,50,0
116,50,50,0
117,50,50,0
118,50,50,0
119,50,50,0
120,24,24,0
