corrida,ambiente,n,perfil,cache_hit,rep,reqs,rps,p50,p95,p99,max,fanout_p95,cache_p95,agg_p95,rating_p95,pct_parciales,pct_desde_cache,pct_errores,cumple,conex_ini,conex_fin,gorout_ini,gorout_fin,vuelo_fin,cancelaciones,perfiles_calc
2026-09-13_aws_N3_degradado_c0_r1,aws,3,degradado,0.0,1,17671,72.98424991610774,121.394951,122.1642635,123.4865435,153.786833,121.01,0.43,0,0,0.9222116020880817,0,0.23020768490747553,False,0,6,3,116,0,32409,17669
2026-09-13_aws_N3_normal_c0_r1,aws,3,normal,0.0,1,17671,72.9836873601367,113.300295,123.2717965,129.91875569999996,173.866972,121.07,0.81,0,0,0.43980875405543857,0,0.0056589893045102145,True,0,10,3,124,0,12565,23618
2026-09-13_aws_N3_normal_c0_r2,aws,3,normal,0.0,2,17671,72.99003469017948,111.85898,122.500135,126.40922959999999,165.953699,120.98,0.5959999999999854,0,0,0.4298310484100347,0,0.005093090374059193,True,0,14,3,132,0,21718,41287
2026-09-13_aws_N3_normal_c0_r3,aws,3,normal,0.0,3,17671,72.98442694078933,112.145533,123.2323945,129.88965559999997,197.051663,121.06,0.7559999999999855,0,0,0.43396440957416565,0,0.004527191443608172,True,0,13,3,130,0,30916,58956
2026-09-13_aws_N9_normal_c0_r1,aws,9,normal,0.0,1,17671,72.98440262492817,121.631011,123.2691945,131.44436819999999,193.265303,121.13,0.5,0,0,0.824155300243364,0,0,True,0,33,3,170,0,27811,17669
2026-09-13_aws_N3_normal_c0.6_r1,aws,3,normal,0.6,1,17871,68.17957540887402,1.237939,122.2053155,125.2589885,173.800265,120.73,0.93,0,0,0.4307177684544733,0.6046036965642363,0.0017906104862626601,True,3,7,9,118,0,34682,66161
2026-09-12_N3_corte250_c0_r1,local,3,corte250,0.0,1,17671,72.6029834034013,111.063927,251.5208535,252.3122241,404.642576,250.61,0.4,0,0,0.07532967343935706,0,0,True,0,21,3,146,0,1368,17669
2026-09-12_N3_degradado_c0_r1,local,3,degradado,0.0,1,17671,72.6245203667917,121.650393,122.9523605,124.3764066,290.828105,121.32,0.56,0,0,0.9249064082801145,0,0.2289627072604833,False,0,8,3,120,0,32486,17669
2026-09-12_N3_normal_c0_r1,local,3,normal,0.0,1,17671,72.61999475791883,111.101332,122.077523,122.84236489999999,287.957133,121.06,0.42,0,0,0.43357041251778095,0,0.005319449946239602,True,0,15,3,134,,9240,17669
2026-09-12_N5_normal_c0_r1,local,5,normal,0.0,1,17671,72.74625012976502,121.036914,122.028438,122.8772226,292.768732,121.11,0.34,0,0,0.6208184751231108,0,0.00011317978609020429,True,0,25,3,154,,15457,17669
2026-09-12_N7_normal_c0_r1,local,7,normal,0.0,1,17671,72.52128656525232,121.08141,122.004057,123.3092337,604.563436,121.13,0.31,0,0,0.7362463210323749,0,5.6589893045102146e-05,True,0,35,3,174,,21446,17669
2026-09-12_N9_normal_c0_r1,local,9,normal,0.0,1,17671,72.61081045904083,121.165498,122.0573685,123.1013155,290.79857,121.16,0.31,0,0,0.8252306299168034,0,0,True,0,43,3,190,,27785,17669
